Store,MCC,Type,Timestamp,Processing Time (s)
Shopee,5262,Marketplaces,2024-10-31 15:26:22,4.95
Ntuc Fairprice,5411,"Grocery Stores, Supermarkets",2024-10-31 15:26:26,3.58
Trip.Com,4722,Travel Agencies and Tour Operations,2024-10-31 15:26:29,3.58
Lazada,5311,Department Stores,2024-10-31 15:26:33,3.6
Singapore Airlines,3075,Singapore Airlines,2024-10-31 15:26:36,3.61
Agoda,4722,Travel Agencies and Tour Operations,2024-10-31 15:26:40,3.54
Klook,4722,Travel Agencies and Tour Operations,2024-10-31 15:26:43,3.56
Uniqlo,5651,Family Clothing Stores,2024-10-31 15:26:47,3.53
Foodpanda,5499,Miscellaneous Food Stores – Convenience Stores and Specialty Markets,2024-10-31 15:26:51,3.54
Amazon,5999,Miscellaneous and Specialty Retail Stores,2024-10-31 15:26:54,3.53
Airwallex,6012,Financial Institutions – Merchandise and Services,2024-10-31 15:26:58,3.58
Taobao (App),5311,Department Stores,2024-10-31 15:27:01,3.58
Grab (Rides),4121,Taxicabs and Limousines,2024-10-31 15:27:05,4.21
Grab Food,5812,Eating Places and Restaurants,2024-10-31 15:27:09,3.63
Apple,5732,Electronics Sale,2024-10-31 15:27:13,3.65
Fwd Travel Insurance,6300,"Insurance Sales, Underwriting, and Premiums",2024-10-31 15:27:16,3.56
Mcdonalds,5814,Fast Food Restaurants,2024-10-31 15:27:20,3.61
Watsons,5912,Drug Stores and Pharmacies,2024-10-31 15:27:24,4.34
Scoot,4511,"Airlines, Air Carriers",2024-10-31 15:27:29,4.29
Booking.Com,7011,"Lodging – Hotels, Motels, Resorts, Central Reservation Services",2024-10-31 15:27:32,3.63
Airbnb,4722,Travel Agencies and Tour Operations,2024-10-31 15:27:36,3.74
Shopback,5712,"Furniture, Home Furnishings, and Equipment Stores, Except Appliances",2024-10-31 15:27:40,3.63
Airalo,5818,Digital Goods — Multi-category,2024-10-31 15:27:43,3.68
Pelago By Singapore Airlines,4722,Travel Agencies and Tour Operations,2024-10-31 15:27:47,3.61
Fave,5999,Miscellaneous and Specialty Retail Stores,2024-10-31 15:27:51,3.76
Singtel,4814,"Fax Services, Telecommunication Services",2024-10-31 15:27:54,3.66
Sp Services,4900,"Electric, Gas, Sanitary and Water Utilities",2024-10-31 15:27:58,3.7
Gojek,4121,Taxicabs and Limousines,2024-10-31 15:28:02,3.68
Iherb,5499,Miscellaneous Food Stores – Convenience Stores and Specialty Markets,2024-10-31 15:28:05,3.79
